# Sea-Bird Data Export
# Original File: C:\CTD\CTD_Data\EMB356\EMB356_011-01_CTD_0010.hex
# Cruise: EMB356
# Station: EMB356_11-1
# Cast: 0010
# GPS Position: 54  9.308 N, 11 17.587 E
# Date: 08.02.2024 08:30:10

ScanCounter,TimeMs,Temperature_C,Pressure_dbar,Conductivity_S_m,Density_kg_m3,Depth_m,Voltage0,Voltage1,Voltage2,Voltage3,Voltage4
3187671227,693185032,-153.682343,-10.390584,5317778077801.118164,2127111232150.144775,-10.390584,22691,39036,16880,57074,65535
3170894011,693185032,-153.682313,-10.390584,5316025045446.110352,2126410019208.141846,-10.390584,18595,39020,16624,57074,65535
3187671227,693185032,-153.682374,-10.390584,5317778035092.072266,2127111215066.526611,-10.390584,18595,39020,16625,3824,65535
3187671227,693185032,-153.682374,-10.390584,5317427396964.083984,2126970959815.331299,-10.390584,22691,39020,16369,28391,65535
3187671227,693185032,-153.682404,-10.390584,5316024917361.208984,2126409967974.181152,-10.390584,22691,39036,16625,36579,65535
3187671227,693185032,-153.682343,-10.390584,5317427439670.315430,2126970976897.823730,-10.390584,22691,39052,16881,36579,65535
3187671227,693185032,-153.682313,-10.390584,5317076855803.480469,2126830743351.089844,-10.390584,22692,39084,16881,36577,65535
3187671227,693185032,-153.682343,-10.390584,5318128727492.309570,2127251492026.621338,-10.390584,18595,39100,16625,24276,65535
3187671227,693185032,-153.682374,-10.390584,5317427396964.083984,2126970959815.331299,-10.390584,18596,39116,16881,16078,65535
3170894011,693185032,-153.682313,-10.390584,5317076855803.480469,2126830743351.089844,-10.390584,18595,39132,16881,16078,65535
3137339579,693185032,-153.682343,-10.390584,5317076813099.897461,2126830726269.656494,-10.390584,22691,39164,17137,20179,65535
3170894011,693185032,-153.682374,-10.390584,5316024960056.008789,2126409985052.101074,-10.390584,18595,39212,16881,32490,65535
3204448443,693185032,-153.682374,-10.390584,5316726155389.271484,2126690463185.406250,-10.390584,22691,39244,17137,36596,65535
3187671227,693185032,-153.682374,-10.390584,5317778035092.072266,2127111215066.526611,-10.390584,22691,39292,17137,36597,65535
3170894011,693185032,-153.682404,-10.390584,5314973211072.666992,2125989285458.764404,-10.390584,22691,39356,16881,36597,65535
3187671227,693185032,-153.682404,-10.390584,5314272131348.912109,2125708853569.262451,-10.390584,22691,39436,17137,32504,65535
3187671227,693185032,-153.682425,-10.390584,5317427325787.403320,2126970931344.658936,-10.390584,22692,39516,17137,28410,65535
3170894011,693185032,-153.682404,-10.390584,5318479303314.697266,2127391722355.576416,-10.390584,22692,39596,17137,28410,65535
3204448443,693185032,-153.682486,-10.390584,5318128528171.705078,2127251412298.379639,-10.390584,22692,39676,16881,32505,65535
3204448443,693185032,-153.682456,-10.390584,5318128570882.958984,2127251429382.881104,-10.390584,22691,39724,17137,32492,65535
3187671227,693185032,-153.682486,-10.390584,5317427240375.994141,2126970897180.095215,-10.390584,18595,39740,16625,32484,65535
3187671227,693185032,-153.682456,-10.390584,5317076656521.526367,2126830663638.308105,-10.390584,18596,39724,16625,32484,65535
3204448443,693185032,-153.682517,-10.390584,5318128485460.616211,2127251395213.944092,-10.390584,22691,39692,16369,32484,65535
3221225659,693185032,-153.682547,-10.390584,5318128442749.697266,2127251378129.576416,-10.390584,18595,39644,16881,16079,65535
3204448443,693185032,-153.682404,-10.390584,5318128642068.750977,2127251457857.197998,-10.390584,18595,39580,16625,3778,65535
3187671227,693185032,-153.682456,-10.390584,5320232711736.286133,2128093085724.212158,-10.390584,18596,39532,16625,3776,65535
3187671227,693185032,-153.682404,-10.390584,5317777992383.191406,2127111197982.974121,-10.390584,18595,39468,16881,3778,65535
3187671227,693185032,-153.682456,-10.390584,5317076656521.526367,2126830663638.308105,-10.390584,22691,39420,16880,48850,65535
3154116795,693185032,-153.682486,-10.390584,5317777878493.657227,2127111152427.160400,-10.390584,18596,39356,16624,32476,65535
3187671227,693185032,-153.682456,-10.390584,5317076656521.526367,2126830663638.308105,-10.390584,22692,39292,17136,28382,65535
3187671227,693185032,-153.682404,-10.390584,5316024917361.208984,2126409967974.181152,-10.390584,18596,39244,16880,32477,65535
3187671227,693185032,-153.682343,-10.390584,5315674422422.111328,2126269769998.542236,-10.390584,18596,39212,16881,7908,65535
3154116795,693185032,-153.682404,-10.390584,5316726112688.839844,2126690446105.233643,-10.390584,18595,39212,16881,36585,65535
3170894011,693185032,-153.682374,-10.390584,5314973253759.022461,2125989302533.306641,-10.390584,18595,39228,17137,44778,65535
3187671227,693185032,-153.682374,-10.390584,5314272174029.635742,2125708870641.552002,-10.390584,18595,39244,17137,44778,65535
3187671227,693185032,-153.682374,-10.390584,5316375551942.446289,2126550221806.676025,-10.390584,22691,39244,17137,36582,65535
3187671227,693185032,-153.682374,-10.390584,5316024960056.008789,2126409985052.101074,-10.390584,22691,39228,16881,32483,65535
3187671227,693185032,-153.682374,-10.390584,5314622708114.135742,2125849084275.351807,-10.390584,18595,39180,16881,32482,65535
3170894011,693185032,-153.682313,-10.390584,5315323896343.134766,2126129559566.951416,-10.390584,22691,39164,17137,32483,65535
3170894011,693185032,-153.682374,-10.390584,5313571140541.799805,2125428457246.417480,-10.390584,18595,39180,17137,36585,65535
3187671227,693185032,-153.682374,-10.390584,5313921651505.524414,2125568661631.907471,-10.390584,22691,39260,17137,36590,65535
3187671227,693185032,-153.682374,-10.390584,5314272174029.635742,2125708870641.552002,-10.390584,22691,39372,16881,36591,65535
3170894011,693185032,-153.682282,-10.390584,5312169340283.277344,2124867737143.008545,-10.390584,22691,39516,17137,36591,65535
3187671227,693185032,-153.682374,-10.390584,5312519677012.952148,2125007871834.878418,-10.390584,18595,39676,16881,7912,65535
3187671227,693185032,-153.682282,-10.390584,5312870281304.902344,2125148113551.658447,-10.390584,22691,39820,17136,32479,65535
3204448443,693185032,-153.682343,-10.390584,5313220683810.907227,2125288274554.060547,-10.390584,18595,39916,16880,24285,65535
3187671227,693185032,-153.682374,-10.390584,5311117887486.583008,2124447156024.330811,-10.390584,18595,39980,16880,24285,65535
3187671227,693185032,-153.682343,-10.390584,5312519719679.767578,2125007888901.604736,-10.390584,18595,39980,17136,32486,65535
3187671227,693185032,-153.682374,-10.390584,5312870153295.513672,2125148062347.903076,-10.390584,18595,39948,16880,40688,65535
3204448443,693185032,-153.682313,-10.390584,5313921736861.839844,2125568695774.433594,-10.390584,22691,39884,16880,40690,65535
3204448443,693185032,-153.682374,-10.390584,5313220641138.462891,2125288257485.082764,-10.390584,22691,39820,17136,44786,65535
3204448443,693185032,-153.682343,-10.390584,5312169254954.778320,2124867703011.608887,-10.390584,18595,39756,16880,16111,65535
3187671227,693185032,-153.682313,-10.390584,5310767554311.609375,2124307022754.341309,-10.390584,18595,39708,16879,40682,65535
3187671227,693185032,-153.682282,-10.390584,5311468445503.204102,2124587379230.979248,-10.390584,18595,39644,17135,24297,65535
